states,x,y
jammu and kashmir,-81,210
tamilnadu,-62,-157
kerala,-89,-167
andhrapradesh,-55,-101
telangana,-56,-52
karnataka,-109,-100
goa,-122,-89
maharastra,-118,-35
odisha,21,-10
chhattisghar,-17,1
madyapradesh,-70,29
rajasthan,-149,83
gujarat,-164,23
punjab,-103,152
himachal pradesh,-73,164
uttarakhand,-49,137
uttarpradesh,-41,92
bihar,35,72
haryana,-88,123
jharkhand,28,38
west bengal,71,32
sikkim,80,100
arunachal pradesh,163,121
assam,123,85
nagaland,166,83
manipur,158,60
meghalaya,107,71
tripura,125,44
mizoram,143,36
